date,total_trades,total_volume,avg_closed_pnl,total_pnl,win_rate,classification,sentiment_label
2023-03-28,3,476.99280999999996,0.0,0.0,0.0,Greed,1.0
2023-11-14,1045,11555429.66781,0.1488070401913875,155.50335699999994,0.27464114832535885,Greed,1.0
2024-03-09,6962,39406770.468365,25.418772159436944,176965.491774,0.49008905486929044,Extreme Greed,
2024-07-03,7141,21843234.177166846,22.229712656210616,158742.378078,0.3171824674415348,Neutral,
2024-10-27,35241,103947765.26336952,90.50427150248291,3189461.032019,0.4516046650208564,Greed,1.0
2025-02-19,133871,704158491.8941449,50.047621894017375,6699925.190574,0.41514592406122314,Fear,-1.0
2025-06-15,26961,310275273.1544609,2.6597436161121624,71709.347634,0.34917102481361967,,
